payment_id,customer_id,merchant_id,amount,payment_method,transaction_time,payment_status,failure_reason,retry_count,previous_payment_count,previous_success_count,customer_success_rate,days_since_last_payment,customer_lifetime_value,recovered,recovered_amount
PAY_0000001,CUST_02416,DEV_CLOTHING_STORE,16557.11,WALLET,2026-07-07 02:59:23.489187,FAILED,INSUFFICIENT_FUNDS,2,32,24,0.75,14,4668.99,0,0.0
PAY_0000002,CUST_02383,DEV_CLOTHING_STORE,2229.15,WALLET,2026-04-06 03:51:23.489187,FAILED,CARD_EXPIRED,2,21,18,0.857,49,7660.31,1,2229.15
PAY_0000003,CUST_04722,DEV_CLOTHING_STORE,963.91,NETBANKING,2026-05-15 13:24:23.489187,FAILED,CARD_EXPIRED,0,28,21,0.75,66,27317.07,1,963.91
PAY_0000004,CUST_01575,DEV_CLOTHING_STORE,712.62,WALLET,2026-03-18 19:41:23.489187,FAILED,BANK_DECLINED,2,27,17,0.63,118,2413.84,0,0.0
PAY_0000005,CUST_03415,DEV_CLOTHING_STORE,1255.17,UPI,2026-06-24 09:03:23.489187,FAILED,INSUFFICIENT_FUNDS,0,4,3,0.75,148,2758.85,1,1255.17
PAY_0000006,CUST_04963,DEV_CLOTHING_STORE,421.08,UPI,2026-02-26 05:51:23.489187,FAILED,NETWORK_ERROR,1,13,11,0.846,55,9899.49,1,421.08
PAY_0000007,CUST_01300,DEV_CLOTHING_STORE,1293.54,CARD,2026-03-16 21:56:23.489187,FAILED,INSUFFICIENT_FUNDS,1,48,40,0.833,175,2091.51,1,1293.54
PAY_0000008,CUST_02788,DEV_CLOTHING_STORE,5785.11,UPI,2026-07-01 12:58:23.489187,FAILED,BANK_TIMEOUT,1,38,35,0.921,153,4003.38,1,5785.11
PAY_0000009,CUST_00909,DEV_CLOTHING_STORE,2414.48,UPI,2026-03-25 08:29:23.489187,FAILED,INSUFFICIENT_FUNDS,0,31,28,0.903,145,7465.59,0,0.0
PAY_0000010,CUST_01287,DEV_CLOTHING_STORE,1149.8,NETBANKING,2026-04-24 20:34:23.489187,FAILED,BANK_DECLINED,0,28,20,0.714,177,3643.43,0,0.0
PAY_0000011,CUST_03598,DEV_CLOTHING_STORE,1223.06,CARD,2026-03-10 11:02:23.489187,FAILED,NETWORK_ERROR,2,20,19,0.95,119,1381.27,0,0.0
PAY_0000012,CUST_02955,DEV_CLOTHING_STORE,5108.61,WALLET,2026-08-09 01:32:23.489187,FAILED,NETWORK_ERROR,1,16,11,0.688,22,1262.65,0,0.0
PAY_0000013,CUST_04229,DEV_CLOTHING_STORE,2163.87,UPI,2026-03-10 09:03:23.489187,FAILED,NETWORK_ERROR,1,7,6,0.857,143,14892.2,0,0.0
PAY_0000014,CUST_01347,DEV_CLOTHING_STORE,6300.88,UPI,2026-08-19 22:25:23.489187,FAILED,INSUFFICIENT_FUNDS,2,13,11,0.846,107,5698.79,0,0.0
PAY_0000015,CUST_04259,DEV_CLOTHING_STORE,2828.67,NETBANKING,2026-08-07 11:08:23.489187,FAILED,NETWORK_ERROR,1,9,6,0.667,99,7952.56,0,0.0
PAY_0000016,CUST_01204,DEV_CLOTHING_STORE,1807.7,NETBANKING,2026-08-03 12:57:23.489187,FAILED,BANK_DECLINED,2,27,24,0.889,34,7756.77,0,0.0
PAY_0000017,CUST_01617,DEV_CLOTHING_STORE,4949.97,NETBANKING,2026-04-02 20:28:23.489187,FAILED,BANK_TIMEOUT,2,30,25,0.833,126,4380.46,1,4949.97
PAY_0000018,CUST_02792,DEV_CLOTHING_STORE,5699.66,NETBANKING,2026-07-05 04:49:23.489187,FAILED,NETWORK_ERROR,2,49,42,0.857,89,11752.28,1,5699.66
PAY_0000019,CUST_00492,DEV_CLOTHING_STORE,3619.07,WALLET,2026-04-18 04:27:23.489187,FAILED,INSUFFICIENT_FUNDS,0,41,31,0.756,58,364.11,1,3619.07
PAY_0000020,CUST_01935,DEV_CLOTHING_STORE,1926.8,WALLET,2026-05-28 13:06:23.489187,FAILED,CARD_EXPIRED,0,33,23,0.697,164,633.81,0,0.0
PAY_0000021,CUST_04771,DEV_CLOTHING_STORE,3489.94,UPI,2026-03-11 17:41:23.489187,FAILED,BANK_TIMEOUT,0,12,10,0.833,64,15572.42,1,3489.94
PAY_0000022,CUST_03655,DEV_CLOTHING_STORE,743.15,NETBANKING,2026-06-09 07:30:23.489187,FAILED,INSUFFICIENT_FUNDS,1,5,4,0.8,168,1817.05,0,0.0
PAY_0000023,CUST_04011,DEV_CLOTHING_STORE,1288.57,UPI,2026-06-29 08:50:23.489187,FAILED,BANK_TIMEOUT,1,48,30,0.625,73,3592.22,1,1288.57
PAY_0000024,CUST_01285,DEV_CLOTHING_STORE,1406.04,NETBANKING,2026-03-02 06:38:23.489187,FAILED,INSUFFICIENT_FUNDS,0,30,22,0.733,81,1752.34,1,1406.04
PAY_0000025,CUST_03068,DEV_CLOTHING_STORE,652.78,NETBANKING,2026-08-03 19:00:23.489187,FAILED,NETWORK_ERROR,0,24,22,0.917,40,1779.62,1,652.78
PAY_0000026,CUST_04005,DEV_CLOTHING_STORE,2022.97,WALLET,2026-08-05 20:03:23.489187,FAILED,NETWORK_ERROR,1,45,43,0.956,3,1269.7,1,2022.97
PAY_0000027,CUST_04962,DEV_CLOTHING_STORE,1214.34,NETBANKING,2026-03-11 04:52:23.489187,FAILED,BANK_DECLINED,2,18,13,0.722,88,4436.25,0,0.0
PAY_0000028,CUST_03173,DEV_CLOTHING_STORE,1380.29,NETBANKING,2026-06-20 12:42:23.489187,FAILED,BANK_TIMEOUT,0,50,41,0.82,22,288.16,1,1380.29
PAY_0000029,CUST_04686,DEV_CLOTHING_STORE,1685.67,UPI,2026-08-16 05:07:23.489187,FAILED,INSUFFICIENT_FUNDS,0,17,13,0.765,30,19946.31,0,0.0
PAY_0000030,CUST_04118,DEV_CLOTHING_STORE,2904.27,CARD,2026-07-23 23:37:23.489187,FAILED,CARD_EXPIRED,2,27,21,0.778,84,5603.37,0,0.0
PAY_0000031,CUST_04371,DEV_CLOTHING_STORE,782.16,WALLET,2026-02-27 07:45:23.489187,FAILED,BANK_DECLINED,1,11,10,0.909,110,1794.58,1,782.16
PAY_0000032,CUST_00746,DEV_CLOTHING_STORE,2312.67,CARD,2026-04-19 19:03:23.489187,FAILED,UNKNOWN_ERROR,2,6,5,0.833,142,4316.5,1,2312.67
PAY_0000033,CUST_02665,DEV_CLOTHING_STORE,332.61,NETBANKING,2026-04-10 21:34:23.489187,FAILED,NETWORK_ERROR,0,19,14,0.737,42,7089.56,1,332.61
