payment_id,amount,failure_reason,payment_method,retry_count,customer_success_rate,ml_recovery_probability,expected_recovery_value,base_simulation_probability,recommended_action,decision_status,decision_reason,policy_allowed,policy_status,policy_reason,requires_human,recoverai_action_probability,baseline_action,baseline_probability,baseline_success,baseline_recovered_amount,recoverai_success,recoverai_recovered_amount
PAY_0016404,2950.68,NETWORK_ERROR,UPI,1,0.857,0.6546,1931.38,0.755,PAYMENT_REMINDER,APPROVED,Temporary failure with moderate recovery probability. Customer intervention is preferred.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.6795,RETRY,0.6946,0,0.0,0,0.0
PAY_0010008,7458.19,BANK_TIMEOUT,UPI,1,0.833,0.704,5250.65,0.7865,RETRY,APPROVED,Temporary failure with high recovery probability. Automatic retry is suitable.,True,APPROVED,Retry satisfies all automatic recovery policy requirements.,False,0.7236,RETRY,0.7236,0,0.0,0,0.0
PAY_0019340,7016.97,CARD_EXPIRED,NETBANKING,2,0.618,0.106,743.66,0.0913,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0015023,3888.84,INSUFFICIENT_FUNDS,NETBANKING,0,0.833,0.5946,2312.12,0.6565,PAYMENT_REMINDER,APPROVED,Insufficient funds detected. Immediate automatic retry may not help; customer should retry after resolving the balance.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.7222,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0004986,1314.9,CARD_EXPIRED,WALLET,1,0.75,0.177,232.71,0.2375,UPDATE_PAYMENT_METHOD,APPROVED,Payment method has expired. Customer should update the payment method before attempting payment again.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.7375,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0004859,2352.98,CARD_EXPIRED,NETBANKING,0,0.933,0.3775,888.31,0.4016,UPDATE_PAYMENT_METHOD,APPROVED,Payment method has expired. Customer should update the payment method before attempting payment again.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.9016,NO_ACTION,0.0,0,0.0,1,2352.98
PAY_0009645,8866.57,INSUFFICIENT_FUNDS,WALLET,2,0.87,0.3847,3410.76,0.4695,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0013872,2955.84,INSUFFICIENT_FUNDS,WALLET,2,0.733,0.371,1096.5,0.4216,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0006106,1975.9,BANK_DECLINED,UPI,1,0.95,0.2941,581.15,0.4675,HUMAN_REVIEW,ESCALATED,Bank decline has insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0010949,2639.61,CARD_EXPIRED,UPI,2,0.927,0.2571,678.62,0.2294,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0009903,1373.99,BANK_TIMEOUT,WALLET,2,0.96,0.6647,913.33,0.701,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0006080,1665.62,CARD_EXPIRED,WALLET,2,0.824,0.1178,196.15,0.1634,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0000372,507.1,NETWORK_ERROR,UPI,1,0.898,0.6963,353.1,0.7693,PAYMENT_REMINDER,APPROVED,Temporary failure with moderate recovery probability. Customer intervention is preferred.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.6924,RETRY,0.7078,1,507.1,1,507.1
PAY_0002682,16980.79,UNKNOWN_ERROR,CARD,0,0.5,0.4358,7401.06,0.36,HUMAN_REVIEW,ESCALATED,Unknown failure with insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0005837,407.79,BANK_DECLINED,WALLET,0,0.96,0.4904,199.97,0.541,HUMAN_REVIEW,ESCALATED,Bank decline has insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0018497,4055.56,CARD_EXPIRED,WALLET,0,0.783,0.3271,1326.75,0.349,UPDATE_PAYMENT_METHOD,APPROVED,Payment method has expired. Customer should update the payment method before attempting payment again.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.849,NO_ACTION,0.0,0,0.0,1,4055.56
PAY_0017417,1221.43,BANK_TIMEOUT,WALLET,1,0.718,0.7047,860.75,0.7163,RETRY,APPROVED,Temporary failure with high recovery probability. Automatic retry is suitable.,True,APPROVED,Retry satisfies all automatic recovery policy requirements.,False,0.659,RETRY,0.659,0,0.0,0,0.0
PAY_0018551,870.97,NETWORK_ERROR,NETBANKING,0,0.6,0.6263,545.53,0.735,PAYMENT_REMINDER,APPROVED,Temporary failure with moderate recovery probability. Customer intervention is preferred.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.6615,RETRY,0.735,1,870.97,1,870.97
PAY_0008314,1399.44,CARD_EXPIRED,CARD,0,0.958,0.397,555.58,0.4203,UPDATE_PAYMENT_METHOD,APPROVED,Payment method has expired. Customer should update the payment method before attempting payment again.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.9203,NO_ACTION,0.0,0,0.0,1,1399.44
PAY_0004159,665.96,BANK_TIMEOUT,UPI,2,0.953,0.7103,473.04,0.7286,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0006364,18463.79,BANK_DECLINED,WALLET,0,0.667,0.5958,11000.76,0.4385,HUMAN_REVIEW,ESCALATED,Bank decline has insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0003746,1815.38,INSUFFICIENT_FUNDS,CARD,1,0.8,0.5376,975.92,0.555,PAYMENT_REMINDER,APPROVED,Insufficient funds detected. Immediate automatic retry may not help; customer should retry after resolving the balance.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.6105,NO_ACTION,0.0,0,0.0,1,1815.38
PAY_0011218,1700.37,NETWORK_ERROR,NETBANKING,2,0.889,0.5709,970.77,0.6361,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0016803,2524.59,BANK_TIMEOUT,NETBANKING,0,0.867,0.8571,2163.72,0.8684,RETRY,APPROVED,Temporary failure with high recovery probability. Automatic retry is suitable.,True,APPROVED,Retry satisfies all automatic recovery policy requirements.,False,0.8684,RETRY,0.8684,1,2524.59,1,2524.59
PAY_0010162,905.87,NETWORK_ERROR,CARD,0,1.0,0.7773,704.17,0.885,RETRY,APPROVED,Temporary failure with high recovery probability. Automatic retry is suitable.,True,APPROVED,Retry satisfies all automatic recovery policy requirements.,False,0.885,RETRY,0.885,1,905.87,1,905.87
